order_id,customer_id,order_date,ship_date,total_amount,order_status
94,26,2024-08-12,2024-08-15,1194.18,Completed
95,26,2024-10-03,2024-10-07,1459.29,Completed
96,26,2024-11-01,2024-11-03,677.31,Completed
97,27,2023-03-09,2023-03-10,986.7,Completed
98,27,2023-03-24,2023-03-26,1230.18,Completed
99,27,2023-04-27,2023-04-28,4774.4,Completed
100,27,2023-06-07,2023-06-12,891.99,Completed
101,27,2023-08-31,2023-09-04,386.64,Completed
102,28,2024-10-26,2024-10-27,6148.51,Completed
103,28,2024-11-19,2024-11-20,2195.27,Completed
104,29,2022-10-24,2022-10-27,3459.18,Completed
105,29,2022-11-09,2022-11-13,3475.86,Completed
106,29,2022-11-19,2022-11-20,774.18,Completed
107,30,2023-05-26,2023-05-27,1306.35,Completed
108,30,2023-08-10,2023-08-12,687.52,Completed
109,30,2023-10-04,2023-10-08,59.56,Completed
110,30,2023-10-14,2023-10-15,6717.49,Completed
111,31,2024-05-28,2024-05-30,709.18,Completed
112,31,2024-07-22,2024-07-23,3724.64,Completed
113,31,2024-07-31,2024-08-05,5815.88,Completed
114,31,2024-09-09,2024-09-12,1237.21,Completed
115,31,2024-11-03,2024-11-05,1449.42,Completed
116,32,2023-03-30,2023-04-03,2199.93,Completed
117,32,2023-06-12,2023-06-16,1730.24,Completed
118,32,2023-08-07,2023-08-10,1199.2,Completed
119,32,2023-10-22,2023-10-24,2814.43,Completed
120,33,2024-10-11,2024-10-16,3898.82,Completed
121,34,2022-08-20,2022-08-25,778.53,Completed
122,34,2022-08-31,2022-09-03,100.16,Completed
123,35,2022-11-27,2022-11-30,426.87,Completed
124,36,2024-03-01,2024-03-02,147.39,Completed
125,36,2024-05-05,2024-05-10,4486.3,Completed
126,36,2024-07-14,2024-07-16,599.84,Completed
127,36,2024-07-25,2024-07-26,472.33,Completed
128,36,2024-09-11,2024-09-15,1373.22,Completed
129,37,2023-05-30,2023-05-31,427.86,Completed
130,38,2023-07-02,2023-07-07,71.23,Completed
131,39,2023-08-29,2023-09-01,4257.45,Completed
132,39,2023-11-21,2023-11-22,56.4,Completed
133,39,2024-01-03,2024-01-04,983.77,Completed
134,39,2024-02-06,2024-02-11,3625.52,Completed
135,39,2024-03-21,2024-03-23,1075.97,Completed
136,39,2024-04-09,2024-04-10,1205.33,Completed
137,39,2024-05-12,2024-05-15,3432.83,Completed
138,40,2024-07-21,2024-07-24,3191.06,Completed
139,40,2024-09-28,2024-10-02,4379.01,Completed
140,40,2024-11-12,2024-11-17,85.06,Completed
141,41,2024-10-24,2024-10-28,42.76,Completed
142,42,2022-08-06,2022-08-07,933.59,Completed
143,42,2022-10-26,2022-10-27,474.83,Completed
144,43,2024-11-11,2024-11-16,1902.96,Completed
145,44,2024-02-11,2024-02-16,3961.67,Completed
146,44,2024-04-22,2024-04-25,2001.26,Completed
147,44,2024-07-17,2024-07-18,3905.8,Completed
148,45,2022-01-05,2022-01-10,634.17,Completed
149,46,2022-02-15,2022-02-16,775.99,Completed
150,47,2023-09-28,2023-10-03,3375.07,Completed
151,47,2023-12-17,2023-12-21,2151.56,Completed
152,48,2023-05-11,2023-05-13,1830.74,Completed
153,48,2023-08-06,2023-08-07,197.2,Completed
154,48,2023-08-13,2023-08-14,1050.67,Completed
155,48,2023-10-01,2023-10-02,415.12,Completed
156,49,2024-09-26,2024-09-27,2175.5,Completed
157,50,2022-09-22,2022-09-26,2464.3,Completed
158,50,2022-11-02,2022-11-03,1063.41,Completed
159,50,2022-12-31,2023-01-02,7231.07,Completed
160,50,2023-03-25,2023-03-26,4019.24,Completed
161,51,2024-09-01,2024-09-03,989.61,Completed
162,51,2024-09-18,2024-09-22,145.05,Completed
163,51,2024-10-08,2024-10-09,8506.19,Completed
164,51,2024-11-28,2024-12-02,94.61,Completed
165,52,2024-05-20,2024-05-23,1860.03,Completed
166,53,2023-02-17,2023-02-21,3041.48,Completed
167,53,2023-04-25,2023-04-30,2181.69,Completed
168,53,2023-07-04,2023-07-09,1292.64,Completed
169,53,2023-09-11,2023-09-16,2105.92,Completed
170,54,2024-02-10,2024-02-12,2128.48,Completed
171,54,2024-04-20,2024-04-25,1337.72,Completed
172,55,2024-07-15,2024-07-16,2251.74,Completed
173,56,2023-04-08,2023-04-09,1460.41,Completed
174,56,2023-05-04,2023-05-05,5884.41,Completed
175,56,2023-06-14,2023-06-16,726.8,Completed
176,57,2022-02-19,2022-02-24,977.45,Completed
177,57,2022-05-02,2022-05-07,239.12,Completed
178,58,2023-04-04,2023-04-05,2496.7,Completed
179,58,2023-05-04,2023-05-05,2169.19,Completed
180,58,2023-07-19,2023-07-21,1082.44,Completed
181,58,2023-10-02,2023-10-05,5034.87,Completed
182,58,2023-11-26,2023-12-01,404.04,Completed
183,58,2024-02-10,2024-02-12,823.95,Completed
184,58,2024-03-13,2024-03-15,1028.72,Completed
185,58,2024-06-01,2024-06-04,279.23,Completed
186,59,2022-05-03,2022-05-08,815.61,Completed
187,60,2022-03-09,2022-03-11,204.55,Completed
188,61,2024-11-23,2024-11-24,379.78,Completed
189,62,2024-09-22,2024-09-27,4534.24,Completed
190,62,2024-11-14,2024-11-16,3105.28,Completed
191,63,2022-10-04,2022-10-08,1788.08,Completed
192,63,2022-10-15,2022-10-18,379.15,Completed
193,63,2023-01-05,2023-01-10,1569.92,Completed
194,63,2023-03-20,2023-03-25,3499.11,Completed
195,63,2023-06-09,2023-06-14,1251.9,Completed
196,64,2024-08-30,2024-09-04,1100.46,Completed
197,65,2022-07-14,2022-07-15,1540.8,Completed
198,65,2022-10-11,2022-10-13,154.46,Completed
199,65,2022-11-01,2022-11-04,2787.89,Completed
200,66,2024-06-03,2024-06-04,313.8,Completed
201,66,2024-08-11,2024-08-13,2094.27,Completed
202,66,2024-08-18,2024-08-20,502.79,Completed
203,67,2024-04-23,2024-04-28,143.23,Completed
204,68,2022-04-23,2022-04-25,6029.96,Completed
205,69,2024-04-07,2024-04-12,1383.25,Completed
206,69,2024-05-07,2024-05-10,1565.13,Completed
207,69,2024-05-18,2024-05-21,1883.8,Completed
208,69,2024-07-12,2024-07-17,2514.89,Completed
209,69,2024-09-13,2024-09-14,679.5,Completed
210,70,2023-05-25,2023-05-28,3698.34,Completed
211,70,2023-07-23,2023-07-25,457.7,Completed
212,71,2024-07-08,2024-07-11,72.62,Completed
213,71,2024-10-06,2024-10-09,105.45,Completed
214,71,2024-11-16,2024-11-20,1010.21,Completed
215,72,2023-01-14,2023-01-16,2699.99,Completed
216,72,2023-02-04,2023-02-06,1858.66,Completed
217,72,2023-03-14,2023-03-19,3761.21,Completed
218,73,2023-05-27,2023-05-28,1209.55,Completed
219,73,2023-06-27,2023-06-29,508.63,Completed
220,73,2023-09-04,2023-09-09,282.85,Completed
221,73,2023-10-28,2023-11-02,637.21,Completed
222,73,2023-12-09,2023-12-12,804.27,Completed
223,74,2022-07-25,2022-07-27,260.12,Completed
224,74,2022-10-13,2022-10-15,1708.27,Completed
225,74,2022-10-20,2022-10-25,1612.44,Completed
226,74,2023-01-16,2023-01-18,1061.56,Completed
227,74,2023-03-22,2023-03-26,6498.97,Completed
228,74,2023-04-11,2023-04-13,559.32,Completed
229,74,2023-05-05,2023-05-08,1325.27,Completed
230,74,2023-05-13,2023-05-15,860.02,Completed
231,74,2023-07-30,2023-08-03,4405.74,Completed
232,75,2022-07-16,2022-07-20,429.69,Completed
233,75,2022-08-19,2022-08-24,1201.09,Completed
234,75,2022-11-04,2022-11-07,1176.87,Completed
235,76,2024-04-14,2024-04-18,68.29,Completed
236,76,2024-07-09,2024-07-10,4529.25,Completed
237,76,2024-10-07,2024-10-08,827.47,Completed
238,76,2024-11-19,2024-11-20,3530.73,Completed
239,77,2023-03-21,2023-03-24,1679.61,Completed
240,77,2023-04-28,2023-05-01,4798.73,Completed
241,77,2023-05-20,2023-05-21,681.74,Completed
242,77,2023-07-23,2023-07-27,2099.63,Completed
243,78,2022-12-09,2022-12-13,3415.53,Completed
244,78,2022-12-29,2023-01-01,481.83,Completed
245,78,2023-03-11,2023-03-12,3144.11,Completed
246,78,2023-05-24,2023-05-27,386.75,Completed
247,78,2023-07-14,2023-07-19,1086.19,Completed
248,78,2023-08-15,2023-08-17,1997.71,Completed
249,78,2023-10-21,2023-10-22,2778.6,Completed
250,78,2023-12-20,2023-12-24,312.95,Completed
251,78,2024-03-11,2024-03-12,662.09,Completed
252,78,2024-06-01,2024-06-05,7736.92,Completed
253,78,2024-08-19,2024-08-22,2661.16,Completed
254,78,2024-10-03,2024-10-08,1740.66,Completed
255,78,2024-10-25,2024-10-29,1578.98,Completed
256,79,2024-03-13,2024-03-15,1174.81,Completed
257,79,2024-05-24,2024-05-29,1666.27,Completed
258,79,2024-06-27,2024-07-01,74.66,Completed
259,80,2023-08-09,2023-08-10,5787.02,Completed
260,81,2022-11-15,2022-11-17,1273.97,Completed
261,82,2023-03-23,2023-03-24,3661.47,Completed
262,83,2023-10-09,2023-10-12,9204.33,Completed
263,84,2024-09-03,2024-09-06,2419.26,Completed
264,85,2024-11-13,2024-11-18,431.78,Completed
265,86,2022-05-28,2022-05-29,380.35,Completed
266,86,2022-07-28,2022-07-29,1361.9,Completed
267,86,2022-10-13,2022-10-18,631.7,Completed
268,86,2023-01-02,2023-01-06,429.29,Completed
269,87,2023-05-03,2023-05-07,1223.64,Completed
270,87,2023-07-20,2023-07-23,100.04,Completed
271,87,2023-09-10,2023-09-15,807.92,Completed
272,87,2023-09-17,2023-09-22,1001.8,Completed
273,88,2023-05-27,2023-06-01,2653.55,Completed
274,89,2024-05-10,2024-05-12,4292.38,Completed
275,90,2023-02-24,2023-02-28,2839.26,Completed
276,90,2023-03-18,2023-03-23,676.7,Completed
277,90,2023-03-29,2023-03-31,1730.02,Completed
278,90,2023-04-13,2023-04-18,1103.98,Completed
279,90,2023-07-09,2023-07-10,3307.37,Completed
280,90,2023-08-13,2023-08-16,1779.79,Completed
281,90,2023-11-07,2023-11-12,696.82,Completed
282,90,2023-11-20,2023-11-21,131.44,Completed
283,91,2023-06-28,2023-07-02,817.04,Completed
284,91,2023-07-15,2023-07-19,187.24,Completed
285,92,2023-09-13,2023-09-15,758.83,Completed
286,93,2022-06-05,2022-06-06,762.88,Completed
287,93,2022-09-03,2022-09-08,983.72,Completed
288,93,2022-10-28,2022-10-31,1641.5,Completed
289,94,2022-07-29,2022-08-03,57.0,Completed
290,94,2022-09-14,2022-09-16,126.63,Completed
291,94,2022-11-07,2022-11-10,2682.49,Completed
292,95,2023-03-18,2023-03-20,1001.46,Completed
293,95,2023-05-18,2023-05-20,464.19,Completed
294,95,2023-07-18,2023-07-22,1121.96,Completed
295,95,2023-08-06,2023-08-07,357.93,Completed
296,95,2023-08-14,2023-08-15,913.67,Completed
297,95,2023-11-05,2023-11-08,1268.7,Completed
298,95,2023-11-26,2023-11-28,511.95,Completed
299,95,2024-01-01,2024-01-05,2068.4,Completed
300,96,2023-12-18,2023-12-21,814.1,Completed
301,96,2024-02-27,2024-03-01,1878.73,Completed
302,96,2024-04-21,2024-04-24,2113.31,Completed
303,97,2024-02-03,2024-02-08,434.97,Completed
304,97,2024-03-07,2024-03-09,1094.54,Completed
305,97,2024-05-24,2024-05-29,2483.71,Completed
306,97,2024-07-19,2024-07-21,206.38,Completed
307,98,2024-06-22,2024-06-27,567.39,Completed
308,98,2024-09-16,2024-09-18,308.42,Completed
309,99,2022-01-24,2022-01-28,2419.25,Completed
310,99,2022-04-09,2022-04-11,1984.38,Completed
311,99,2022-05-27,2022-05-29,5783.16,Completed
312,99,2022-08-17,2022-08-22,4350.92,Completed
313,99,2022-09-10,2022-09-13,7160.16,Completed
314,99,2022-10-03,2022-10-05,3613.81,Completed
315,99,2022-12-12,2022-12-13,1440.9,Completed
316,99,2023-01-06,2023-01-07,696.94,Completed
317,99,2023-02-11,2023-02-13,762.42,Completed
318,99,2023-04-25,2023-04-29,3485.51,Completed
319,99,2023-06-20,2023-06-21,28.76,Completed
320,99,2023-07-21,2023-07-24,4507.64,Completed
321,99,2023-10-11,2023-10-16,756.35,Completed
322,99,2023-12-27,2023-12-29,433.14,Completed
323,100,2022-08-01,2022-08-02,1331.78,Completed
324,101,2022-08-30,2022-09-04,4985.79,Completed
325,101,2022-09-17,2022-09-18,478.24,Completed
326,101,2022-11-01,2022-11-02,124.03,Completed
327,101,2022-11-08,2022-11-12,2727.77,Completed
328,101,2023-01-09,2023-01-13,2479.88,Completed
329,101,2023-01-17,2023-01-22,1190.91,Completed
330,102,2022-11-22,2022-11-27,319.26,Completed
331,102,2023-02-12,2023-02-16,301.12,Completed
332,102,2023-02-21,2023-02-26,2606.58,Completed
333,103,2023-03-13,2023-03-17,745.42,Completed
334,104,2023-06-26,2023-06-30,1974.27,Completed
335,104,2023-07-12,2023-07-13,3328.63,Completed
336,104,2023-08-06,2023-08-11,1527.42,Completed
337,104,2023-08-29,2023-08-30,1075.3,Completed
338,104,2023-11-07,2023-11-08,4724.49,Completed
339,104,2023-12-01,2023-12-04,1181.61,Completed
340,105,2022-04-17,2022-04-19,770.66,Completed
341,105,2022-06-10,2022-06-11,1927.95,Completed
342,105,2022-09-03,2022-09-05,2651.31,Completed
343,105,2022-11-05,2022-11-06,2598.69,Completed
344,106,2024-05-18,2024-05-23,897.77,Completed
345,107,2022-01-13,2022-01-15,2283.22,Completed
346,107,2022-01-30,2022-02-01,1670.96,Completed
347,107,2022-02-11,2022-02-13,486.14,Completed
348,108,2023-06-24,2023-06-27,702.24,Completed
349,109,2024-06-30,2024-07-02,893.66,Completed
350,109,2024-08-14,2024-08-18,885.88,Completed
351,109,2024-10-16,2024-10-19,446.25,Completed
352,110,2022-08-23,2022-08-27,167.27,Completed
353,110,2022-09-03,2022-09-08,4333.93,Completed
354,110,2022-11-25,2022-11-26,4800.23,Completed
355,110,2022-12-14,2022-12-19,2566.7,Completed
356,111,2022-11-08,2022-11-09,568.23,Completed
357,111,2023-01-01,2023-01-03,4522.67,Completed
358,111,2023-01-31,2023-02-04,1864.52,Completed
359,112,2022-11-03,2022-11-05,612.01,Completed
360,112,2023-01-05,2023-01-08,30.53,Completed
361,112,2023-02-05,2023-02-07,1733.69,Completed
362,112,2023-02-20,2023-02-21,399.28,Completed
363,112,2023-05-17,2023-05-19,1042.45,Completed
364,112,2023-06-09,2023-06-10,1922.47,Completed
365,113,2022-03-31,2022-04-05,177.69,Completed
366,113,2022-06-24,2022-06-29,649.34,Completed
367,113,2022-09-11,2022-09-14,669.75,Completed
368,113,2022-11-09,2022-11-13,2836.65,Completed
369,113,2022-12-19,2022-12-20,317.44,Completed
370,113,2023-01-22,2023-01-24,627.75,Completed
371,113,2023-01-30,2023-02-01,253.09,Completed
372,113,2023-03-26,2023-03-29,1990.39,Completed
373,113,2023-06-15,2023-06-16,288.48,Completed
374,113,2023-07-31,2023-08-03,345.93,Completed
375,113,2023-08-11,2023-08-16,277.27,Completed
376,113,2023-08-23,2023-08-26,1878.26,Completed
377,113,2023-10-01,2023-10-03,83.39,Completed
378,113,2023-11-26,2023-11-30,2407.51,Completed
379,113,2024-01-29,2024-02-01,3649.9,Completed
380,113,2024-02-27,2024-02-28,358.37,Completed
381,114,2022-03-23,2022-03-28,1726.32,Completed
382,114,2022-04-27,2022-05-02,105.79,Completed
383,114,2022-05-25,2022-05-26,1358.41,Completed
384,114,2022-06-13,2022-06-17,3653.42,Completed
385,114,2022-07-17,2022-07-22,3468.23,Completed
386,114,2022-09-22,2022-09-24,404.78,Completed
387,114,2022-10-04,2022-10-05,732.71,Completed
388,115,2023-06-03,2023-06-05,1979.31,Completed
389,115,2023-08-19,2023-08-21,1995.1,Completed
390,116,2024-04-14,2024-04-19,461.24,Completed
391,116,2024-07-03,2024-07-08,1819.53,Completed
392,116,2024-07-11,2024-07-13,147.99,Completed
393,116,2024-08-22,2024-08-24,1626.3,Completed
394,117,2022-12-02,2022-12-05,1613.85,Completed
395,117,2022-12-15,2022-12-19,5582.47,Completed
396,118,2022-02-27,2022-03-03,1496.85,Completed
397,119,2023-11-13,2023-11-17,125.8,Completed
398,119,2024-02-05,2024-02-06,81.07,Completed
399,119,2024-03-14,2024-03-19,1117.49,Completed
400,119,2024-04-05,2024-04-09,3264.4,Completed
401,119,2024-05-11,2024-05-15,3885.21,Completed
402,119,2024-05-25,2024-05-28,3993.8,Completed
403,119,2024-08-12,2024-08-16,1436.95,Completed
404,119,2024-09-09,2024-09-13,824.06,Completed
405,120,2023-07-03,2023-07-06,1458.13,Completed
406,120,2023-09-27,2023-09-28,2095.06,Completed
407,120,2023-10-29,2023-11-03,1122.35,Completed
408,120,2023-12-21,2023-12-26,318.47,Completed
409,120,2024-01-27,2024-01-28,210.85,Completed
410,120,2024-04-10,2024-04-14,4241.24,Completed
411,120,2024-06-19,2024-06-22,488.27,Completed
412,121,2022-08-14,2022-08-18,402.88,Completed
413,121,2022-09-26,2022-09-29,137.37,Completed
414,121,2022-12-15,2022-12-18,2885.74,Completed
415,121,2023-01-14,2023-01-15,275.49,Completed
416,121,2023-04-06,2023-04-07,3974.95,Completed
417,121,2023-06-26,2023-06-28,1226.94,Completed
418,121,2023-07-30,2023-07-31,526.8,Completed
419,122,2024-08-28,2024-09-02,4336.96,Completed
420,122,2024-11-14,2024-11-17,1659.59,Completed
421,123,2024-08-04,2024-08-07,6087.18,Completed
422,124,2023-04-14,2023-04-16,3017.04,Completed
423,125,2023-01-31,2023-02-01,2039.58,Completed
424,125,2023-02-12,2023-02-13,141.76,Completed
425,125,2023-03-13,2023-03-15,184.09,Completed
426,125,2023-05-18,2023-05-20,269.22,Completed
427,125,2023-07-02,2023-07-04,2437.25,Completed
428,125,2023-09-26,2023-09-29,3737.41,Completed
429,125,2023-10-26,2023-10-31,2859.01,Completed
430,125,2023-11-23,2023-11-25,1349.18,Completed
431,125,2023-12-28,2023-12-31,1381.0,Completed
432,125,2024-02-17,2024-02-18,3913.09,Completed
433,125,2024-04-28,2024-04-30,1820.88,Completed
434,125,2024-05-24,2024-05-28,371.06,Completed
435,126,2023-07-27,2023-07-28,2082.89,Completed
436,126,2023-09-05,2023-09-07,521.69,Completed
437,126,2023-11-16,2023-11-17,193.7,Completed
438,126,2023-12-12,2023-12-15,4533.97,Completed
439,126,2024-03-07,2024-03-10,355.96,Completed
440,126,2024-05-14,2024-05-16,215.21,Completed
441,126,2024-05-28,2024-05-31,2998.28,Completed
442,126,2024-06-19,2024-06-24,471.77,Completed
443,127,2023-12-25,2023-12-29,483.25,Completed
444,127,2024-01-09,2024-01-12,1723.09,Completed
445,127,2024-01-24,2024-01-27,1194.18,Completed
446,127,2024-02-09,2024-02-10,1809.12,Completed
447,127,2024-03-28,2024-04-01,1669.15,Completed
448,127,2024-06-22,2024-06-26,683.55,Completed
449,127,2024-07-10,2024-07-12,658.59,Completed
450,127,2024-09-23,2024-09-28,1361.03,Completed
451,127,2024-10-10,2024-10-15,3112.8,Completed
452,128,2022-03-05,2022-03-10,1555.32,Completed
453,129,2023-01-07,2023-01-10,4037.68,Completed
454,129,2023-02-12,2023-02-13,601.75,Completed
455,129,2023-02-22,2023-02-25,879.39,Completed
456,129,2023-03-18,2023-03-22,2695.93,Completed
457,130,2022-08-12,2022-08-16,379.35,Completed
458,131,2023-10-05,2023-10-06,572.64,Completed
459,132,2024-03-01,2024-03-05,4401.96,Completed
460,132,2024-04-03,2024-04-04,889.56,Completed
461,132,2024-06-16,2024-06-18,1969.0,Completed
462,132,2024-09-02,2024-09-07,1036.82,Completed
463,133,2022-04-05,2022-04-08,317.53,Completed
464,135,2024-06-05,2024-06-08,516.92,Completed
465,136,2023-11-10,2023-11-12,1649.42,Completed
466,136,2024-02-02,2024-02-06,240.85,Completed
467,136,2024-03-14,2024-03-15,1674.76,Completed
468,136,2024-03-28,2024-03-30,148.63,Completed
469,137,2022-09-18,2022-09-20,778.66,Completed
470,137,2022-09-29,2022-10-01,150.58,Completed
471,137,2022-12-17,2022-12-21,1750.85,Completed
472,137,2023-01-11,2023-01-14,268.06,Completed
473,137,2023-03-18,2023-03-21,1045.4,Completed
474,137,2023-03-25,2023-03-30,1609.34,Completed
475,137,2023-05-12,2023-05-16,3569.25,Completed
476,137,2023-07-10,2023-07-12,991.58,Completed
477,138,2023-09-29,2023-09-30,70.28,Completed
478,138,2023-12-02,2023-12-07,1194.95,Completed
479,138,2023-12-27,2024-01-01,2663.35,Completed
480,138,2024-02-28,2024-03-02,626.48,Completed
481,138,2024-03-10,2024-03-13,4435.72,Completed
482,138,2024-03-23,2024-03-25,396.74,Completed
483,138,2024-04-22,2024-04-26,1416.25,Completed
484,139,2024-04-06,2024-04-09,1743.76,Completed
485,139,2024-06-08,2024-06-09,118.88,Completed
486,139,2024-07-31,2024-08-01,4395.96,Completed
487,139,2024-10-28,2024-10-31,3984.03,Completed
488,140,2022-09-25,2022-09-27,2559.9,Completed
489,141,2024-02-23,2024-02-24,4397.71,Completed
490,141,2024-04-03,2024-04-08,2857.53,Completed
491,141,2024-06-25,2024-06-27,2670.67,Completed
492,141,2024-08-31,2024-09-02,1007.18,Completed
493,141,2024-10-20,2024-10-24,271.57,Completed
494,141,2024-11-20,2024-11-24,7047.18,Completed
495,142,2023-09-09,2023-09-10,1329.03,Completed
496,142,2023-12-04,2023-12-09,1224.6,Completed
497,142,2024-01-02,2024-01-04,192.99,Completed
498,142,2024-03-20,2024-03-24,3208.01,Completed
499,143,2023-09-21,2023-09-24,771.43,Completed
500,143,2023-12-06,2023-12-08,286.64,Completed
501,143,2024-02-15,2024-02-20,646.03,Completed
502,143,2024-04-10,2024-04-15,978.46,Completed
503,143,2024-05-10,2024-05-14,1098.34,Completed
504,143,2024-07-19,2024-07-23,1206.88,Completed
505,143,2024-09-08,2024-09-13,3850.05,Completed
506,143,2024-09-18,2024-09-21,1047.84,Completed
507,144,2024-06-02,2024-06-06,540.17,Completed
508,144,2024-07-02,2024-07-03,2673.99,Completed
509,144,2024-07-21,2024-07-23,3959.87,Completed
510,145,2024-06-26,2024-06-28,163.1,Completed
511,145,2024-07-22,2024-07-23,1579.4,Completed
512,145,2024-08-12,2024-08-15,3579.89,Completed
513,145,2024-10-29,2024-11-03,193.14,Completed
514,145,2024-11-22,2024-11-23,86.91,Completed
515,146,2023-03-21,2023-03-25,1506.8,Completed
516,147,2022-12-16,2022-12-18,1990.72,Completed
517,147,2023-01-01,2023-01-03,2759.35,Completed
518,147,2023-01-28,2023-02-02,3486.81,Completed
519,147,2023-02-18,2023-02-19,3474.54,Completed
520,148,2024-11-24,2024-11-25,7836.09,Completed
521,149,2023-04-29,2023-05-04,1391.77,Completed
522,150,2023-02-16,2023-02-18,4971.6,Completed
523,150,2023-03-02,2023-03-06,1424.46,Completed
524,150,2023-05-26,2023-05-30,443.8,Completed
525,150,2023-07-15,2023-07-16,1409.69,Completed
